title,open_date,quarter,n_aud,n_screen,n_show,distributor,director,actor,score,genre,actor_power,genre_power,distributor_power
암전,2019.8.15,3,105574 ,423 ,5127 ,기타,김진원,"서예지, 진선규",5 ,"공포, 미스터리",18126109 ,56802025 ,120697397 
5백만불의 사나이,2012.7.19,3,104736 ,331 ,6393 ,씨제이,김익로,"박진영, 조성하, 민효린",5 ,코미디,21056690 ,210105867 ,332822481 
크게 될 놈,2019.4.18,2,102374 ,447 ,7901 ,기타,강지은,"김해숙, 손호준",9 ,드라마,17799766 ,554968598 ,120697397 
루시드 드림,2017.2.22,1,102170 ,461 ,8534 ,넥스트,김준성,"고수, 설경구",6 ,"SF, 스릴러",32973825 ,116962170 ,160156018 
게이트,2018.2.28,1,101381 ,208 ,5474 ,기타,신재호,"정려원, 임창정, 정상훈, 이경영, 이문식, 김도훈",4 ,"범죄, 코미디",22431855 ,362763047 ,120697397 
돌연변이,2015.10.22,4,100523 ,399 ,6827 ,기타,권오광,"이광수, 이천희, 박보영",7 ,"드라마, 코미디",20423803 ,765074465 ,120697397 
미니특공대X,2018.3.22,1,100164 ,458 ,5452 ,기타,이영준,"엄상현, 전태열, 이소영, 신용우",8 ,애니메이션,6912033 ,15798986 ,120697397 
슈퍼 빼꼼: 스파이 대작전,2017.5.3,2,99693 ,358 ,3345 ,기타,임아론,"김태균, 최정현",8 ,"애니메이션, 코미디",199386 ,225904853 ,120697397 
인류멸망 보고서,2012.4.11,2,97916 ,236 ,9556 ,롯데,김지운,"류승범, 송새벽, 김강우, 송영창, 김규리, 고준희, 진지희",5 ,"SF, 판타지",31316554 ,54171028 ,159188751 
여중생A,2018.6.20,2,97849 ,479 ,10242 ,롯데,이경섭,"김환희, 수호",6 ,드라마,7075606 ,554968598 ,159188751 
무서운 이야기 3 : 화성에서 온 소녀,2016.6.1,2,97804 ,317 ,6407 ,롯데,김곡,"임슬옹, 경수진, 박정민, 홍은희, 차지연",6 ,공포,17324570 ,17563966 ,159188751 
기생령,2011.8.5,3,96992 ,207 ,5783 ,롯데,고석진,"한은정, 이형석, 효민, 박성민",4 ,공포,1682029 ,17563966 ,159188751 
577 프로젝트,2012.8.30,3,96079 ,191 ,5040 ,기타,이근우,"공효진, 하정우",8 ,"코미디, 드라마",105446297 ,765074465 ,120697397 
걷기왕,2016.10.20,4,95542 ,462 ,10476 ,기타,백승화,"심은경, 박주희",8 ,드라마,23696270 ,554968598 ,120697397 
일사각오,2016.3.17,1,94767 ,66 ,2702 ,기타,권혁만,"이지형, 설지윤, 최원",9 ,드라마,284301 ,554968598 ,120697397 
써니 감독판,2011.7.28,3,90562 ,54 ,1574 ,씨제이,강형철,"유호정, 심은경, 강소라, 고수희, 김민영, 홍진희, 박진주, 이연경, 남보라, 김보미, 민효린",9 ,"코미디, 드라마",106523954 ,765074465 ,332822481 
